Vincent Dorie, 2013-08-14
user, 2013-08-27
Steve Walker, 2013-01-26
stevencarlislewalker, 2014-07-22
singmann, 2013-12-19
pitakakariki, 2015-12-15
Peter Green, 2016-11-03
Peter, 2013-05-28
mmaechler, 2009-07-12
Martin Maechler, 2013-07-03
Martin Mächler, 2014-03-04
Joshua Nathaniel Pritikin, 2015-03-16
Jeroen Ooms, 2016-04-09
helix123, 2017-09-24
Helen Ogden, 2015-01-20
hadley wickham, 2013-09-21
ggrothendieck, 2014-09-30
fabian-s, 2013-08-14
Douglas Bates, 2012-11-10
Don Armstrong, 2017-01-31
dmbates, 2009-08-27
davidkretch, 2016-02-22
David J. Harris, 2017-07-27
danstowell, 2014-02-25
Daniel McCloy, 2014-09-03
cfhammill, 2016-05-16
Brendan Rocks, 2015-06-09
Ben Bolker, 2013-02-13
bbolker, 2010-12-06
andreaphsz, 2014-02-19
