project,url,main_language,languages,age,stars,forks,commits,newcomers,pulls_opened,pulls_closed,pulls_merged,loc_r,loc_total
SharpeR,https://github.com/shabbychef/SharpeR,R,"['Shell', 'Makefile', 'M4', 'Jupyter Notebook', 'Rebol', 'R']",5,5,7,307,4,0,0,1,2743,5027
lme4,https://github.com/lme4/lme4,HTML,"['R', 'Shell', 'Makefile', 'HTML', 'C++']",5,250,82,2003,30,2,5,34,13863,44343
prodigenr,https://github.com/lwjohnst86/prodigenr,R,"['TeX', 'R']",2,6,1,151,1,0,0,0,277,1131
texmex,https://github.com/harrysouthworth/texmex,R,"['C', 'R']",3,2,2,1008,12,0,0,11,8037,11929
brainGraph,https://github.com/cwatson/brainGraph,R,['R'],2,17,5,214,1,0,0,0,3418,4762
rtrie,https://github.com/ezgraphs/rtrie,R,['R'],0,4,0,9,1,0,0,0,57,277
geex,https://github.com/bsaul/geex,R,['R'],1,0,2,522,3,0,0,8,1138,13430
KScorrect,https://github.com/pnovack-gottshall/KScorrect,R,['R'],2,1,1,74,2,0,0,0,303,572
tcr,https://github.com/imminfo/tcr,R,"['R', 'C++']",4,19,8,343,7,2,2,34,3978,16928
l2boost,https://github.com/ehrlinger/l2boost,R,['R'],5,3,1,30,2,0,0,1,716,1331
factorMerger,https://github.com/MI2DataLab/factorMerger,HTML,"['TeX', 'R', 'HTML']",1,2,4,387,7,0,3,17,1991,12488
libsoc,https://github.com/rikardn/libsoc,C,"['C', 'Shell', 'Python', 'Makefile', 'C++', 'Perl', 'Fortran', 'R', 'XS']",2,6,2,196,1,0,1,0,253,16794
ROpenDota,https://github.com/rosdyana/ROpenDota,R,['R'],0,0,0,30,2,0,0,0,140,273
prereg,https://github.com/crsh/prereg,R,"['TeX', 'R']",2,12,1,25,1,0,0,0,141,950
RcmdrPlugin.MPAStats,https://github.com/andrewheiss/RcmdrPlugin.MPAStats,R,['R'],5,2,4,87,5,0,1,6,2097,4738
rDEA,https://github.com/jaak-s/rDEA,R,"['R', 'C', 'Shell', 'Makefile', 'C++']",3,10,6,144,3,0,0,1,1214,2627
FedData,https://github.com/ropensci/FedData,R,['R'],3,29,6,396,4,0,0,1,1506,8498
iopsych,https://github.com/allengoebl/iopsych,R,['R'],1,3,0,22,3,0,0,3,301,1431
ShinyTester,https://github.com/mexindian/ShinyTester,R,['R'],1,12,1,43,3,0,0,1,201,951
RVsharing,https://github.com/syounkin/RVsharing,R,['R'],4,0,1,262,3,0,0,0,2471,8133
letsR,https://github.com/macroecology/letsR,R,['R'],3,9,3,268,6,1,1,1,2461,3930
orca,https://github.com/janezd/orca,C++,"['R', 'C++']",3,0,1,44,3,0,0,0,72,1545
EMMAgeo,https://github.com/coffeemuggler/EMMAgeo,R,['R'],2,1,0,34,1,0,0,0,2294,2415
pathmapping,https://github.com/stmueller/pathmapping,R,"['C', 'R']",3,2,1,14,2,0,0,0,1501,1972
rdwd,https://github.com/brry/rdwd,HTML,"['TeX', 'R', 'HTML']",1,7,0,265,2,0,0,0,945,1877
treatSens,https://github.com/vdorie/treatSens,R,"['C', 'Shell', 'Makefile', 'C++', 'M4', 'R', 'Stan']",3,2,0,244,7,0,0,0,3526,20458
coppeCosenzaR,https://github.com/ptaranti/coppeCosenzaR,R,['R'],0,0,0,25,4,0,0,0,1872,1974
RPresto,https://github.com/prestodb/RPresto,R,"['R', 'C++']",2,64,13,164,4,2,1,50,4251,24731
WRTDStidal,https://github.com/fawda123/WRTDStidal,HTML,"['R', 'HTML']",3,0,1,252,1,0,0,0,3039,4115
bigstatsr,https://github.com/privefl/bigstatsr,R,"['R', 'Shell', 'C++']",1,19,4,486,3,0,1,2,8347,23850
extraDistr,https://github.com/twolodzko/extraDistr,C++,"['R', 'C++']",1,8,2,331,5,0,0,2,4578,17428
rdiversity,https://github.com/boydorr/rdiversity,R,['R'],1,2,3,1001,3,0,0,4,1119,3104
condformat,https://github.com/zeehio/condformat,R,['R'],2,8,2,204,1,0,0,0,2138,2729
simTool,https://github.com/MarselScheer/simTool,R,['R'],3,1,0,45,3,0,0,0,372,507
speedglm,https://github.com/cran/speedglm,R,['R'],3,1,7,6,2,1,0,0,1766,2849
