project,url,main_language,languages,age,stars,forks,commits,newcomers,pulls_opened,pulls_closed,pulls_merged,loc_r,loc_total
mldr.datasets,https://github.com/fdavidcl/mldr.datasets,R,['R'],0,0,0,287,2,0,0,0,453,1104
fourierin,https://github.com/cran/fourierin,HTML,"['C', 'R', 'HTML', 'C++']",1,0,0,4,1,0,0,0,356,1718
deconstructSigs,https://github.com/raerose01/deconstructSigs,R,"['R', 'JavaScript', 'HTML', 'CSS']",1,33,14,102,5,0,0,2,510,13185
vegtable,https://github.com/kamapu/vegtable,R,['R'],1,1,0,123,2,0,0,0,1278,1566
REPPlab,https://github.com/fischuu/REPPlab,R,['R'],2,0,0,37,2,0,0,0,354,451
lavaan.survey,https://github.com/daob/lavaan.survey,R,['R'],3,2,1,10,1,0,0,0,259,495
sdmpredictors,https://github.com/lifewatch/sdmpredictors,R,['R'],2,5,0,123,2,0,0,0,2141,2523
comtradr,https://github.com/ropensci/comtradr,HTML,"['R', 'HTML']",0,8,2,181,2,0,0,0,938,2075
msap,https://github.com/anpefi/msap,R,"['R', 'HTML', 'CSS']",2,0,0,50,2,0,0,0,526,1022
MixSIAR,https://github.com/brianstock/MixSIAR,R,"['TeX', 'R', 'HTML']",4,15,25,136,6,0,0,7,3717,11078
linbin,https://github.com/ezwelty/linbin,R,['R'],2,1,0,29,2,0,0,0,635,785
text2vec,https://github.com/dselivanov/text2vec,R,"['R', 'Rebol', 'C++']",2,403,76,544,9,0,3,18,2609,66511
textTinyR,https://github.com/mlampros/textTinyR,R,"['M4', 'C', 'R', 'C++']",0,13,4,59,2,0,0,0,4404,15496
zoon,https://github.com/zoonproject/zoon,HTML,"['R', 'Shell', 'HTML']",3,39,12,746,14,0,12,108,6681,54349
imager,https://github.com/dahtah/imager,C++,"['M4', 'C', 'R', 'Shell', 'C++']",2,110,15,432,3,0,2,10,3617,68329
AnnotationBustR,https://github.com/sborstein/AnnotationBustR,R,['R'],1,0,1,252,4,1,0,0,663,1616
tutorial,https://github.com/datacamp/tutorial,R,['R'],1,35,13,140,5,0,1,3,256,3569
pez,https://github.com/willpearse/pez,R,['R'],3,10,6,184,4,0,0,0,3974,4898
Tides,https://github.com/tomjscox/Tides,R,['R'],0,0,0,10,1,0,0,0,294,537
umx,https://github.com/tbates/umx,R,"['R', 'Rebol']",5,8,5,1388,6,0,2,3,10909,12950
tumblR,https://github.com/AndreaCapozio/tumblR,R,['R'],1,0,0,3,1,0,0,0,840,937
toxboot,https://github.com/ericwatt/toxboot,R,['R'],1,1,0,70,2,0,0,1,1312,1916
rstackdeque,https://github.com/oneilsh/rstackdeque,R,['R'],3,24,2,30,1,0,1,0,635,1818
osmplotr,https://github.com/ropensci/osmplotr,R,"['R', 'Makefile']",1,77,15,453,6,2,1,7,3444,14227
nmaINLA,https://github.com/gunhanb/nmaINLA,R,['R'],1,0,0,34,1,0,0,0,672,5104
statcheck,https://github.com/MicheleNuijten/statcheck,R,['R'],5,103,16,277,11,1,1,5,915,6747
pense-rpkg,https://github.com/dakep/pense-rpkg,R,"['M4', 'C', 'R', 'Shell', 'C++']",0,1,0,371,4,0,0,0,4181,12850
Seurat,https://github.com/satijalab/seurat,R,"['R', 'Java', 'C++']",2,116,95,1242,18,2,10,16,12512,34492
OOBCurve,https://github.com/PhilippPro/OOBCurve,R,['R'],0,7,0,37,2,0,0,0,180,489
oddsratio,https://github.com/pat-s/oddsratio,R,['R'],1,14,1,341,3,0,1,29,355,10592
funrar,https://github.com/Rekyt/funrar,R,['R'],2,4,0,290,6,0,0,0,1095,1347
histmdl,https://github.com/joukewitteveen/histmdl,R,"['C', 'R']",4,1,0,8,1,0,0,0,96,247
GADMTools,https://github.com/Epiconcept-Paris/GADMTools,R,['R'],2,0,1,49,5,0,1,0,765,1281
wordbankr,https://github.com/langcog/wordbankr,R,"['R', 'Shell']",2,8,3,82,7,0,0,1,277,1328
microPop,https://github.com/HelenKettle/microPop,R,['R'],0,1,0,7,2,0,0,0,2447,2576
sqlscore,https://github.com/wwbrannon/sqlscore,R,['R'],1,6,2,162,2,0,0,2,1242,2317
robustlmm,https://github.com/kollerma/robustlmm,R,"['C', 'R', 'C++']",4,8,3,57,3,0,0,1,3618,6003
snpReady,https://github.com/italo-granato/snpReady,R,['R'],1,1,3,152,9,0,0,12,488,4494
soundgen,https://github.com/tatters/soundgen,HTML,"['R', 'HTML']",0,1,1,76,2,0,0,0,7676,9286
scclust-R,https://github.com/fsavje/scclust-R,C,"['R', 'C', 'Shell', 'Makefile', 'C++']",1,8,1,144,2,0,0,0,3732,9824
errorizer,https://github.com/ikkyle/errorizer,HTML,"['R', 'HTML']",1,0,0,33,2,0,0,0,52,329
medicare,https://github.com/robertgambrel/medicare,R,['R'],1,0,0,79,2,0,0,0,1909,2055
ciTools,https://github.com/jthaman/ciTools,R,['R'],0,87,3,227,4,0,0,7,995,5500
UNGeneAnno,https://github.com/biscuit13161/UNGeneAnno,R,['R'],1,0,0,11,1,0,0,0,644,916
GGIR,https://github.com/wadpac/GGIR,R,"['C', 'R', 'C++']",0,9,3,394,8,0,4,10,8015,13148
EstimateGroupNetwork,https://github.com/GiulioCostantini/EstimateGroupNetwork,R,['R'],0,0,0,12,1,0,0,0,831,928
uhcplots,https://github.com/aaarchmiller/uhcplots,R,['R'],1,1,0,63,4,0,1,1,173,1612
gmse,https://github.com/bradduthie/gmse,HTML,"['C', 'HTML', 'C++', 'TeX', 'R', 'CSS']",1,1,1,1123,2,0,0,0,6009,20997
plac,https://github.com/942kid/plac,C++,"['R', 'C++']",1,3,0,49,1,0,0,0,318,1258
EvolQG,https://github.com/lem-usp/EvolQG,R,"['R', 'C++']",4,4,7,574,8,0,1,58,2811,22068
Rtauchen,https://github.com/cran/Rtauchen,R,['R'],1,0,0,1,1,0,0,0,37,187
SDMPlay,https://github.com/cran/SDMPlay,HTML,"['R', 'HTML']",1,0,0,2,1,0,0,0,326,818
NetworkComparisonTest,https://github.com/cvborkulo/NetworkComparisonTest,R,['R'],2,2,6,15,2,1,1,0,582,1880
CausalImpact,https://github.com/google/CausalImpact,R,['R'],3,723,119,55,7,4,1,4,2250,32028
inspectr,https://github.com/jenitivecase/inspectr,R,['R'],0,2,0,47,3,0,0,0,85,250
reutils,https://github.com/gschofl/reutils,R,['R'],4,6,2,53,1,0,0,0,1703,2512
SixSigma,https://github.com/emilopezcano/SixSigma,R,['R'],3,1,3,64,4,0,0,0,1733,2169
dissUtils,https://github.com/cran/dissUtils,R,"['C', 'R', 'C++', 'Perl']",3,0,0,2,1,0,0,0,375,1301
cati,https://github.com/adrientaudiere/cati,R,['R'],3,2,3,404,5,0,0,1,3110,8739
derivmkts,https://github.com/rmcd1024/derivmkts,HTML,"['R', 'HTML']",2,9,5,104,1,0,0,0,1576,4325
compareDF,https://github.com/alexsanjoseph/compareDF,R,['R'],1,22,2,111,2,0,0,0,288,1120
bdvis,https://github.com/vijaybarve/bdvis,R,['R'],4,13,4,96,3,0,0,1,924,2062
udpipe,https://github.com/bnosac/udpipe,C++,"['R', 'C++']",0,27,6,88,3,0,0,1,639,22136
countyfloods,https://github.com/rodlammers/countyfloods,R,['R'],1,2,2,120,3,0,0,0,800,1595
hei,https://github.com/timfolsom/hei,R,"['TeX', 'R']",1,0,1,92,3,0,0,7,298,5021
rAmCharts,https://github.com/datastorm-open/rAmCharts,R,"['R', 'JavaScript', 'CSS']",2,26,7,664,9,0,0,0,11724,16285
respirometry,https://github.com/matthewabirk/respirometry,R,"['R', 'HTML', 'CSS']",1,0,0,10,1,0,0,0,3532,4303
syuzhet,https://github.com/mjockers/syuzhet,HTML,"['R', 'HTML']",2,217,57,121,10,0,2,9,509,14107
unjoin,https://github.com/hypertidy/unjoin,R,['R'],0,5,0,38,1,0,0,0,103,1730
r4ss,https://github.com/r4ss/r4ss,R,['R'],3,9,11,1309,36,0,2,30,21512,32743
rbundler,https://github.com/yoni/rbundler,Rebol,"['Rebol', 'R']",5,2,7,71,6,0,0,0,452,1250
SpatialPosition,https://github.com/Groupe-ElementR/SpatialPosition,R,['R'],2,15,3,84,6,0,0,2,814,2189
solar,https://github.com/oscarperpinan/solar,R,['R'],4,18,9,205,4,0,0,0,3092,4773
prepdat,https://github.com/ayalaallon/prepdat,R,['R'],2,12,1,96,3,0,0,2,1319,3300
landscapeR,https://github.com/dariomasante/landscapeR,HTML,"['C', 'R', 'HTML', 'C++']",1,0,0,51,2,0,0,0,605,1315
apng,https://github.com/qstokkink/apng,R,['R'],0,0,0,8,2,0,0,0,250,395
versions,https://github.com/goldingn/versions,R,['R'],2,10,2,79,2,0,1,5,409,2696
popprxl,https://github.com/zkamvar/popprxl,R,['R'],2,0,1,41,2,0,0,0,75,347
nearfar,https://github.com/joerigdon/nearfar,R,['R'],0,0,0,5,1,0,0,0,0,97
neuroim,https://github.com/bbuchsbaum/neuroim,R,"['R', 'C++']",4,4,1,164,4,0,0,1,4956,6108
containerit,https://github.com/o2r-project/containerit,R,"['R', 'Shell']",1,60,7,157,7,0,0,7,2652,7176
matrixpls,https://github.com/mronkko/matrixpls,R,['R'],4,5,4,316,3,1,1,1,3162,4595
intsvy,https://github.com/eldafani/intsvy,R,['R'],3,6,5,317,8,1,1,2,1892,3808
GDM,https://github.com/fitzLab-AL/GDM,C++,"['C', 'R', 'C++']",2,5,2,24,3,0,1,0,1378,5683
geotoolsR,https://github.com/cran/geotoolsR,R,['R'],0,0,0,1,1,0,0,0,465,581
corrplot,https://github.com/taiyun/corrplot,R,['R'],6,120,46,296,12,2,1,43,1158,22709
rvg,https://github.com/davidgohel/rvg,C++,"['R', 'C', 'Shell', 'C++']",2,17,3,235,3,1,0,1,1901,6673
pim,https://github.com/CenterForStatistics-UGent/pim,R,['R'],0,3,1,12,1,0,0,2,1316,2235
logitnorm,https://github.com/bgctw/logitnorm,R,['R'],1,0,0,46,3,0,0,1,640,1012
tbdiag,https://github.com/mmparker/tbdiag,R,['R'],6,0,0,201,1,0,0,2,1140,1901
NetworkInference,https://github.com/desmarais-lab/NetworkInference,R,"['C', 'R', 'C++']",1,5,1,359,3,0,2,8,599,4538
diverse,https://github.com/mguevara/diverse,R,['R'],2,3,3,50,3,0,0,5,400,2366
ini,https://github.com/dvdscripter/ini,R,['R'],0,0,0,9,1,0,0,0,68,187
LendingClub,https://github.com/kuhnrl30/LendingClub,R,"['R', 'HTML']",1,2,1,38,2,0,0,0,264,3793
hyperSpec,https://github.com/cbeleites/hyperSpec,R,"['SourcePawn', 'PLSQL', 'Makefile', 'M', 'TeX', 'Objective-C', 'HTML', 'R', 'Roff']",1,5,7,464,8,0,0,8,5689,9645
RBMRB,https://github.com/kumar-physics/RBMRB,R,"['R', 'HTML', 'CSS']",1,0,0,111,4,0,0,0,894,1847
ggrepel,https://github.com/slowkow/ggrepel,R,"['Python', 'R', 'C++']",1,423,47,208,12,0,6,13,1109,21751
tweenr,https://github.com/thomasp85/tweenr,R,"['C', 'R', 'C++']",1,244,22,31,7,0,0,4,493,10107
spdep,https://github.com/r-spatial/spdep,R,"['C', 'R', 'C++']",0,11,2,29,2,0,0,0,12848,14906
Dark,https://github.com/emkayoh/Dark,HTML,"['R', 'HTML', 'CSS']",2,0,0,217,1,0,0,0,795,1489
dtwclust,https://github.com/asardaes/dtwclust,R,"['C', 'R', 'Matlab', 'C++']",2,71,13,1079,5,0,0,0,7497,13135
Radviz,https://github.com/yannabraham/Radviz,R,['R'],2,4,0,67,1,0,0,0,502,730
Stickbreaker,https://github.com/jtvanleuven/Stickbreaker,HTML,"['R', 'HTML']",1,0,1,50,3,0,0,4,833,3709
summarytools,https://github.com/dcomtois/summarytools,R,"['R', 'CSS']",3,36,6,188,4,0,0,1,2159,14151
CopulaDTA,https://github.com/VNyaga/CopulaDTA,R,['R'],0,0,0,1,1,0,0,0,1035,1132
AF,https://github.com/ElisabethDahlqwist/AF,R,['R'],0,0,0,3,1,0,0,0,781,885
TriMatch,https://github.com/jbryer/TriMatch,R,"['TeX', 'R', 'Shell']",4,4,0,72,1,0,0,0,1394,1682
mcglm,https://github.com/wbonat/mcglm,HTML,"['R', 'HTML']",1,5,1,256,4,0,0,4,5181,8171
rKIN,https://github.com/salbeke/rKIN,R,['R'],0,0,0,13,2,0,0,0,507,611
tufterhandout,https://github.com/sachsmc/tufterhandout,HTML,"['R', 'HTML', 'CSS']",3,100,21,32,3,2,0,13,57,9199
queuecomputer,https://github.com/AnthonyEbert/queuecomputer,R,"['C', 'R', 'C++']",1,8,4,191,4,0,1,10,628,4926
splot,https://github.com/miserman/splot,R,['R'],0,0,0,124,1,0,0,0,878,2457
wfindr,https://github.com/idmn/wfindr,R,['R'],1,2,0,42,2,0,0,0,88,305
taRifx,https://github.com/gsk3/taRifx,R,['R'],5,2,1,25,2,0,0,0,751,987
RODBCext,https://github.com/zozlak/RODBCext,HTML,"['M4', 'C', 'R', 'Shell', 'HTML']",3,13,7,80,5,0,1,5,373,8449
Barnard,https://github.com/kerguler/Barnard,R,"['C', 'R']",2,2,1,8,2,0,0,0,73,372
geomnet,https://github.com/sctyner/geomnet,R,"['R', 'HTML', 'CSS']",3,39,9,361,5,1,2,2,754,4480
fst,https://github.com/fstpackage/fst,C,"['C', 'R', 'C++']",0,192,19,219,5,0,0,3,1194,31644
R-package-zoom,https://github.com/cbarbu/R-package-zoom,R,"['R', 'Shell']",4,4,1,76,3,0,0,2,615,1363
eventstudies,https://github.com/nipfpmf/eventstudies,R,['R'],2,4,5,462,8,0,0,0,2190,2912
