"","project","url","main_language","languages","age","stars","forks","commits","newcomers","pulls_opened","pulls_closed","pulls_merged"
"245","symmoments","https://github.com/cran/symmoments","R","['R']",3,0,0,3,0,0,0,0
"426","drLumi","https://github.com/cran/drLumi","R","['R']",2,1,0,1,0,0,0,0
